Estimator_Number,Estimator_Weight
1,1.4114022587505772
2,0.5801756906358196
3,0.4833889277612742
4,0.44598294094669155
5,0.4391010221741123
6,0.4558442667438987
7,0.3646522536158685
8,0.34283642637114176
9,0.25862188676400016
10,0.24358894808748752
11,0.3556231425201848
12,0.4004081690975261
13,0.3287481100819199
14,0.1717887449092843
15,0.1291319656710992
16,0.17329799619309075
17,0.24166647726608848
18,0.30317577891814246
19,0.17644769857294287
20,0.13232204426324898
21,0.20734581873719826
22,0.26491606175689925
23,0.2811987524947735
24,0.2202593088243166
25,0.2569511785235444
26,0.21535046180553907
27,0.2617791923356179
28,0.08843057886941555
29,0.12702539284592865
30,0.15366408204621593
31,0.07409893674712918
32,0.10904412739910979
33,0.09145566594889486
34,0.10869809654970342
35,0.11941482426712564
36,0.12164427236015077
37,0.08235647314075739
38,0.06595120564793171
39,0.2180822367163514
40,0.33151557404502086
41,0.2346321596273765
42,0.15498979610288244
43,0.1873859579256465
44,0.16211595822263236
45,0.2049384905077134
46,0.1432993221133834
47,0.1377950418452276
48,0.12927400533801126
49,0.09691216140147091
50,0.1972370889474558
51,0.2038095612766659
52,0.13609514442598006
53,0.1082963834456453
54,0.23687761104050553
55,0.21454193758180554
56,0.06016007912585852
57,0.13858661523974025
58,0.16479949734217494
59,0.04928506486732955
60,0.12043229651576873
61,0.06621067675994678
62,0.1260181308601657
63,0.24166168065004065
64,0.10877770487073286
65,0.09078996582393574
66,0.11165983103976473
67,0.19566192617416522
68,0.22846202726842418
69,0.16081844864581157
70,0.0425813428835572
71,0.12089977009706787
72,0.10999038333469108
73,0.12924337476513204
74,0.12170062660554444
75,0.08674116141910768
76,0.06063689102148165
77,0.08805083656421796
78,0.24880581005545116
79,0.11944485265399184
80,0.2344057547516301
81,0.1815401999753344
82,0.20317447018237128
83,0.21582566206418421
84,0.21290180238238676
85,0.1533671252361692
86,0.08348340460022381
87,0.14220198248231006
88,0.16207963180717028
89,0.13597659237429804
90,0.09455715772769596
91,0.11404168599674445
92,0.10382439347679753
93,0.12552213559553385
94,0.13605930710692712
95,0.08474852506389896
96,0.09600019680031165
97,0.07722608636126267
98,0.05835954143224914
99,0.10944904250312251
100,0.09644590252259244
